id,en,vi
S_S,%s  %s,%s  %s
AVATAR_FARM,Avatar Farm,Avatar Farm
BAMBOO_ROD,Bamboo Rod,Cần Câu Tre
BACK_TO_LOGIN,Back to Login,Quay lại đăng nhập
YOU_ARE_NOT_CURRENTLY_FISHING,You are not currently fishing.,Bạn chưa đang câu cá.
BÁO_CÁO,🚩 Report,🚩 Báo cáo
HEALTH_POTION,Health Potion,Bình Máu
BẠN_CHƯA_CÂU,You have not fished.,Bạn chưa câu.
BẠN_KHÔNG_ĐỦ_XU_ĐỂ_MUA_VẬT_PHẨ,You do not have enough Coins to buy this item.,Bạn không đủ Xu để mua vật phẩm.
BẠN_S,[You]: %s,[Bạn]: %s
BẠN_ĐỨNG_QUÁ_XA_MẶT_NƯỚC,You are standing too far from the water.,Bạn đứng quá xa mặt nước.
YOU,You,Bạn
YOU_HAVE_NOT_FISHED,You have not fished.,Bạn chưa câu.
YOU_ARE_NOT_IN_THE_CORRECT_FIS,You are not in the correct fishing spot or data is invalid.,Bạn chưa ở đúng khu câu cá hoặc dữ liệu không hợp lệ.
YOU_NEED_TO_BUY_A_ROD_FIRST,You need to buy a rod first.,Bạn cần mua cần câu trước.
YOU_NEED_TO_BUY_SEEDS_OR_ARE_I,You need to buy seeds or are in the wrong area.,Bạn cần mua hạt giống hoặc đang ở sai khu vực.
YOU_NEED_TO_BUY_SEEDS_FIRST,You need to buy seeds first.,Bạn cần mua hạt giống trước.
YOU_NEED_TO_BUY_BAIT_FIRST,You need to buy bait first.,Bạn cần mua mồi câu trước.
YOU_DO_NOT_HAVE_ENOUGH_COINS_T,You do not have enough Coins to buy this item.,Bạn không đủ Xu để mua vật phẩm.
YOU_ARE_STANDING_TOO_FAR_FROM,You are standing too far from the water.,Bạn đứng quá xa mặt nước.
CORN,Corn,Bắp
CORN_1,Corn,Bắp Ngô
FISH_BITING_PRESS_SPACE_CLICK,FISH BITING! Press Space / Click!,CÁ CẮN CÂU! Nhấn Space / Click!
CARROT,Carrot,Cà Rốt
CARROT_SEED,Carrot Seed,Hạt Cà Rốt
